"filename", "language", "Python", "comment", "blank", "total"
"e:\PythonII\SocialScannerWeb\apps\authentication\__init__.py", "Python", 7, 0, 2, 9
"e:\PythonII\SocialScannerWeb\apps\authentication\forms.py", "Python", 26, 0, 5, 31
"e:\PythonII\SocialScannerWeb\apps\authentication\models.py", "Python", 58, 4, 18, 80
"e:\PythonII\SocialScannerWeb\apps\authentication\routes.py", "Python", 126, 10, 49, 185
"e:\PythonII\SocialScannerWeb\apps\authentication\util.py", "Python", 38, 2, 11, 51
"Total", "-", 255, 16, 85, 356
